model_type,config,num_parameters,accuracy,inference_time
MoE,"Experts=1, k=1",204315,93.49,0.008422435084475747
MoE,"Experts=2, k=1",408630,92.09,0.008627553529377226
MoE,"Experts=4, k=2",817260,94.44,0.015881906581830373
MoE,"Experts=8, k=2",1634520,94.0,0.01276469834243195
MoE,"Experts=16, k=4",3269040,94.37,0.01877677893336815
IWMN,Iterations=1,331540,93.5,0.011577292333675337
IWMN,Iterations=2,331540,93.01,0.009743258922914916
IWMN,Iterations=3,331540,93.29,0.012187514124037345
IWMN,Iterations=4,331540,93.5,0.010103491288197191
IWMN,Iterations=5,331540,93.6,0.011473562144025971
